STD Report
1 de julho de 2026 - 5 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-07-17,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,252,34,"13,49%",BRL,"59,18","0,00"
2026-07-17,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,48,6,"12,50%",BRL,"43,85","0,00"
2026-07-17,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,14,2,"14,29%",BRL,"6,88","0,00"
2026-07-18,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,199,41,"20,60%",BRL,"91,81","0,00"
2026-07-18,v4 |✈️| search_taxiaereo | SP,taxiaereo,66,4,"6,06%",BRL,"19,97","0,00"
2026-07-18,v4 | search_institucional | BR,brand,1.998,104,"5,21%",BRL,"57,87","1,00"
2026-07-18,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,255,23,"9,02%",BRL,"35,80","3,00"
2026-07-18,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,59,10,"16,95%",BRL,"23,89","1,00"
2026-07-18,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,19,4,"21,05%",BRL,"28,98","0,00"
2026-07-19,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,260,38,"14,62%",BRL,"69,70","0,00"
2026-07-19,v4 |✈️| search_taxiaereo | SP,taxiaereo,104,6,"5,77%",BRL,"21,39","0,00"
2026-07-19,v4 | search_institucional | BR,brand,2.089,110,"5,27%",BRL,"60,84","1,00"
2026-07-19,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,284,36,"12,68%",BRL,"59,56","1,00"
2026-07-19,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,60,9,"15,00%",BRL,"19,22","0,00"
2026-07-19,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,15,1,"6,67%",BRL,"16,72","0,00"
2026-07-20,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,340,51,"15,00%",BRL,"126,96","0,00"
2026-07-20,v4 |✈️| search_taxiaereo | SP,taxiaereo,14,2,"14,29%",BRL,"9,70","0,00"
2026-07-20,v4 | search_institucional | BR,brand,1.592,87,"5,46%",BRL,"48,92","2,00"
2026-07-20,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,351,36,"10,26%",BRL,"53,63","1,00"
2026-07-20,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,118,13,"11,02%",BRL,"40,75","1,00"
2026-07-20,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,24,3,"12,50%",BRL,"21,52","0,00"
2026-07-21,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,347,80,"23,05%",BRL,"189,09","0,00"
2026-07-21,v4 |✈️| search_taxiaereo | SP,taxiaereo,22,2,"9,09%",BRL,"6,64","0,00"
2026-07-21,v4 | search_institucional | BR,brand,1.711,79,"4,62%",BRL,"51,54","0,00"
2026-07-21,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,308,29,"9,42%",BRL,"49,77","2,00"
2026-07-21,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,85,12,"14,12%",BRL,"41,36","0,00"
2026-07-21,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,82,8,"9,76%",BRL,"48,24","0,00"
2026-07-22,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,360,71,"19,72%",BRL,"159,80","0,00"
2026-07-22,v4 |✈️| search_taxiaereo | SP,taxiaereo,61,5,"8,20%",BRL,"10,55","0,00"
2026-07-22,v4 | search_institucional | BR,brand,1.358,85,"6,26%",BRL,"52,67","1,00"
2026-07-22,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,275,20,"7,27%",BRL,"33,55","1,00"
2026-07-22,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,98,19,"19,39%",BRL,"42,40","1,00"
2026-07-22,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,60,3,"5,00%",BRL,"39,54","0,00"
2026-07-23,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,311,66,"21,22%",BRL,"122,78","0,00"
2026-07-23,v4 |✈️| search_taxiaereo | SP,taxiaereo,98,5,"5,10%",BRL,"9,66","1,00"
2026-07-23,v4 | search_institucional | BR,brand,1.586,82,"5,17%",BRL,"46,00","2,00"
2026-07-23,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,320,39,"12,19%",BRL,"67,93","5,00"
2026-07-23,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,52,10,"19,23%",BRL,"43,67","0,00"
2026-07-23,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,11,3,"27,27%",BRL,"40,99","0,00"
2026-07-24,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,391,67,"17,14%",BRL,"139,95","0,00"
2026-07-24,v4 |✈️| search_taxiaereo | SP,taxiaereo,56,4,"7,14%",BRL,"8,66","0,00"
