STD Report
1 de fevereiro de 2026 - 21 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-06-19,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,20,5,"25,00%",BRL,"16,71","0,00"
2026-06-19,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,39,1,"2,56%",BRL,"4,68","0,00"
2026-06-20,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,199,57,"28,64%",BRL,"59,06","0,00"
2026-06-20,v4 |✈️| search_taxiaereo | SP,taxiaereo,28,2,"7,14%",BRL,"2,04","0,00"
2026-06-20,v4 | search_institucional | BR,brand,139,15,"10,79%",BRL,"21,41","0,00"
2026-06-20,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,406,35,"8,62%",BRL,"72,80","1,00"
2026-06-20,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,46,5,"10,87%",BRL,"26,54","0,00"
2026-06-20,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,12,2,"16,67%",BRL,"9,97","0,00"
2026-06-21,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,219,36,"16,44%",BRL,"55,26","0,00"
2026-06-21,v4 |✈️| search_taxiaereo | SP,taxiaereo,81,6,"7,41%",BRL,"16,18","0,00"
2026-06-21,v4 | search_institucional | BR,brand,122,7,"5,74%",BRL,"7,86","0,00"
2026-06-21,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,494,38,"7,69%",BRL,"74,66","0,00"
2026-06-21,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,53,4,"7,55%",BRL,"10,29","0,00"
2026-06-21,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,8,2,"25,00%",BRL,"8,72","0,00"
2026-06-22,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,499,105,"21,04%",BRL,"209,35","0,00"
