STD Report
1 de junho de 2026 - 2 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-07-28,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,114,14,"12,28%",BRL,"55,32","0,00"
2026-07-28,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,52,4,"7,69%",BRL,"37,82","0,00"
2026-07-29,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,169,14,"8,28%",BRL,"41,26","0,00"
2026-07-29,v4 |✈️| search_taxiaereo | SP,taxiaereo,101,6,"5,94%",BRL,"23,57","0,00"
2026-07-29,v4 | search_institucional | BR,brand,895,66,"7,37%",BRL,"44,83","1,00"
2026-07-29,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,318,32,"10,06%",BRL,"38,63","1,00"
2026-07-29,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,94,9,"9,57%",BRL,"35,87","0,00"
2026-07-29,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,78,7,"8,97%",BRL,"87,93","0,00"
2026-07-30,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,121,13,"10,74%",BRL,"50,27","0,00"
2026-07-30,v4 |✈️| search_taxiaereo | SP,taxiaereo,104,8,"7,69%",BRL,"24,29","0,00"
2026-07-30,v4 | search_institucional | BR,brand,473,34,"7,19%",BRL,"30,36","1,00"
2026-07-30,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,321,33,"10,28%",BRL,"42,67","1,00"
2026-07-30,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,79,4,"5,06%",BRL,"10,51","0,00"
2026-07-30,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,83,6,"7,23%",BRL,"75,65","0,00"
2026-07-31,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,250,17,"6,80%",BRL,"117,44","0,00"
2026-07-31,v4 |✈️| search_taxiaereo | SP,taxiaereo,76,4,"5,26%",BRL,"11,11","0,00"
2026-07-31,v4 | search_institucional | BR,brand,528,40,"7,58%",BRL,"36,91","0,00"
2026-07-31,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,352,23,"6,53%",BRL,"43,15","2,00"
2026-07-31,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,117,4,"3,42%",BRL,"23,58","0,00"
2026-07-31,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,38,1,"2,63%",BRL,"34,15","0,00"
2026-08-01,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,197,14,"7,11%",BRL,"114,05","0,00"
2026-08-01,v4 |✈️| search_taxiaereo | SP,taxiaereo,55,5,"9,09%",BRL,"22,70","1,00"
2026-08-01,v4 | search_institucional | BR,brand,542,44,"8,12%",BRL,"60,77","0,00"
2026-08-01,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,333,31,"9,31%",BRL,"56,68","1,00"
2026-08-01,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,21,2,"9,52%",BRL,"58,76","0,00"
2026-08-01,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,45,4,"8,89%",BRL,"20,09","0,00"
2026-08-02,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,136,9,"6,62%",BRL,"58,29","0,00"
2026-08-02,v4 |✈️| search_taxiaereo | SP,taxiaereo,101,9,"8,91%",BRL,"19,70","1,00"
2026-08-02,v4 | search_institucional | BR,brand,700,50,"7,14%",BRL,"58,16","3,00"
2026-08-02,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,381,34,"8,92%",BRL,"53,17","0,00"
2026-08-02,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,49,9,"18,37%",BRL,"42,25","0,00"
2026-08-02,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,75,4,"5,33%",BRL,"37,11","0,00"
