Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Vendas,Quantidade de Vendas,Valor,Porcentagem de Vendas
04/05/2026,PARTICULAR,5,"5.859,75",100
05/05/2026,PARTICULAR,3,"5.062,49",75
05/05/2026,MERCADO LIVRE,1,"87,23",25
06/05/2026,LOJA VIRTUAL,3,"1.228,03","42,86"
06/05/2026,MERCADO LIVRE,3,"3.232,83","42,86"
06/05/2026,PARTICULAR,1,"151,05","14,29"
07/05/2026,PARTICULAR,5,"1.234,99","62,5"
07/05/2026,LOJA VIRTUAL,2,"1.634,98",25
07/05/2026,MERCADO LIVRE,1,"71,88","12,5"
08/05/2026,PARTICULAR,5,"4.324,56","55,56"
08/05/2026,LOJA VIRTUAL,3,"3.801,19","33,33"
08/05/2026,MERCADO LIVRE,1,"351,62","11,11"
11/05/2026,PARTICULAR,5,"11.228,46","55,56"
11/05/2026,MERCADO LIVRE,3,"1.879,59","33,33"
11/05/2026,LOJA VIRTUAL,1,"127,20","11,11"
12/05/2026,PARTICULAR,7,"9.072,05","63,64"
12/05/2026,MERCADO LIVRE,3,"1.358,98","27,27"
12/05/2026,LOJA VIRTUAL,1,"303,17","9,09"
13/05/2026,PARTICULAR,6,"14.591,16","54,55"
13/05/2026,MERCADO LIVRE,3,"6.438,21","27,27"
13/05/2026,LOJA VIRTUAL,2,"2.626,14","18,18"
14/05/2026,PARTICULAR,2,"943,09",100
15/05/2026,PARTICULAR,1,"119,04",100
16/05/2026,MERCADO LIVRE,3,"119,03",75
16/05/2026,LOJA VIRTUAL,1,"124,51",25
18/05/2026,PARTICULAR,7,"18.706,37","58,33"
18/05/2026,LOJA VIRTUAL,3,"835,92",25
18/05/2026,MERCADO LIVRE,2,"2.334,71","16,67"
19/05/2026,PARTICULAR,4,"10.191,88","66,67"
19/05/2026,LOJA VIRTUAL,1,"53,65","16,67"
19/05/2026,MERCADO LIVRE,1,"54,93","16,67"
20/05/2026,PARTICULAR,3,"603,46","42,86"
20/05/2026,MERCADO LIVRE,2,"1.551,23","28,57"
20/05/2026,LOJA VIRTUAL,1,"229,77","14,29"
20/05/2026,MAGAZINE LUIZA,1,"791,76","14,29"
21/05/2026,PARTICULAR,4,"6.945,64","66,67"
