Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
751,PATIM HIWIN EG15 PATIM DE GUIA LINEAR HIWIN EGH15CA SÉRIE EG,7890001004076,"2.931,18",9,,
973,LENTE DE FOCO CO2 F-THETA (USA),7899765432174,"8.222,00",4,300X300,
973,LENTE DE FOCO CO2 F-THETA (USA),7899765432174,"2.890,00",1,70X70,
1185,Lente Colimadora D30 F100 Raytools Bm110/Bm111 Com Barril,7899765432165,"4.899,80",5,,
1259,FONTE LASER 60W HY,7899765432189,"6.558,94",5,,
182,CONJUNTO PLACA CONTROLADORA RUDA RDC-6442 CPU + PAINEL HMI,7890001002959,"14.027,54",4,,
224,BOMBA DE ÁGUA DC CHILLER CW-5000 / CW-5200 24V 20L/MIN,500010,"1.660,88",4,,
352,SENSOR DE FLUXO DE ÁGUA 1/2 2 FIOS BLACK,7890001003567,"535,85",6,,
478,SUPORTE DO TUBO LASER RECI,ML-80MM,"914,72",8,,
569,"CORREIA DA POLIA DO MOTOR X,Y 228-3M - 10MM",228-3M,"19.141,34",5,,
733,PELÍCULA PARA PAINEL 6442,,"1.042,17",4,,
757,CABO FLEX PP 4 VIAS DUPLA ISOLAÇÃO PVC MOTORES DE PASSO CNC,PP4,"240,80",16,,
859,FONTE CHAVEADA 55W +15 -15,7899765432227,"5.915,00",12,,
889,TUBO LASER 50W HANZ,7890001003284,"5.017,50",4,,
903,DIODO RED POINT 12MM PARA FIBER LASER,7899765432277,"672,22",4,,
963,FONTE LASER 80W HY,7899765432190,"7.000,00",4,,
977,ESPELHOS DOURADO REFLETOR SILÍCIO MÁQUINAS CORTE LASER CO2,7899765432248,"1.000,00",5,30MM,
977,ESPELHOS DOURADO REFLETOR SILÍCIO MÁQUINAS CORTE LASER CO2,7899765432248,"2.322,14",11,25MM,
977,ESPELHOS DOURADO REFLETOR SILÍCIO MÁQUINAS CORTE LASER CO2,7899765432248,"1.091,50",5,20MM,
1133,BLOCO DE MOVIMENTO COMPLETO COM POLIA DUPLA 24/72 DENTES- 3M,23-3,"1.500,00",4,,
1137,BLOCO DE MOVIMENTO COMPLETO COM POLIA 24 DENTES - 3M,23-3,"1.590,00",6,,
1298,ROLAMENTO SG20 SEM PARAFUSO,7890001003499,"1.683,00",32,,
52,FONTE CHAVEADA 24V 10AMP,7899765432221,"665,11",3,,
80,FONTE LASER RECI DY-13 100W,7899765432192,"8.443,32",4,,
86,FONTE LASER 130W BLACK,7899765432231,"6.307,20",3,,
90,FONTE LASER DY20 130/150W,7899765432229,"2.275,00",3,,
126,CONJUNTO 3 ESPELHOS DE 25MM E 1 LENTE 20MM,,"1.811,70",3,,
222,BLOCO MOVIMENTO COMP POLIA DUP 24/72 DENTES 3M EIXO ALONGADO,500009,"1.180,00",4,,
238,CABEÇA DE CORTE LASER CO2 COMPLETA C/ REGULAGEM FOCO SUPORTE,500017,"2.070,00",3,,
294,FLY BACK 100W PARA FONTES BLACK,7899765432213,"1.841,40",3,,
430,ESTEIRA PORTA CABO DO MOVIMENTO Y 10x20,7899765432251,"462,16",4,,
432,"ESTICADOR DO ROLAMENTO DO QUADRO X,Y COM PARAFUSOS",7899765432252,"374,24",8,,
506,CHILLER CW-5000 S&A PARA MÁQUINAS DE CORTE A LASER,500029,"16.950,00",3,,
579,"CORREIA DA POLIA DO MOTOR X,Y 264-3M - 10MM",7899765432266,"245,45",4,,
583,DOBRADIÇA PARA MAQUINA DE CORTE LASER 38x52 MM,7899765432280,"371,66",7,,
681,LENTE AMERICANA (ZNSE) DF 50.8 20MM,,"866,40",3,,
713,FLY BACK 40/50W PARA FONTES DE MÁQUINAS DE CORTE A LASER STANDART,7899765432260,"845,46",3,,
723,SENSOR DE TEMPERATURA PARA CHILLER,7890001003598,"437,27",3,,
891,MINI COMPRESSOR 280L PARA MÁQUINAS DE CORTE A LASER,,"4.037,02",3,,
924,DIODO RED POINT EM CRUZ,7899765432278,"1.277,00",21,,
930,AMORTECEDOR TAMPA FRONTAL 41CM MÁQUINAS CORTE LASER NACIONAL,ML-40C,"1.290,36",6,,
955,GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 30QS,7899765432199,"36.201,80",3,,
981,LENTES AMERICANAS (II-VI) 19MM,7899765432156,"778,00",2,"50,8",
981,LENTES AMERICANAS (II-VI) 19MM,7899765432156,"778,00",2,"63,5",
1013,CONJUNTO PLACA CONTROLADORA RUDA RDC-6445 (CPU + PAINEL HMI),7890001002966,"11.700,00",3,,
