Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
154,MÁQUINA DE CORTE A LASER 100W MODELO BB-1310 - 2 CABEÇAS,7899765432128,"52.000,00",1,,
200,PAINEL DE COMANDO RDL-6442 PARA MÁQUINAS DE CORTE A LASER,RDL-6442,"1.025,00",1,,
220,BICO DE CORTE 21MM PARA LENTES DE 20MM DF 50.8 LASER CO2,500008,"259,00",1,,
254,CAPACITOR PARA O CHILLER CW 5000 / 5200 17uF PARTIDA,CPCW500,"150,72",1,,
256,COLMEIA 1000X800 PARA MÁQUINAS DE CORTE A LASER,MLC-1080,"1.250,00",1,,
262,COLMEIA 1400X900 PARA MÁQUINAS DE CORTE A LASER,,"1.700,00",1,,
270,COOLER DO CHILLER CW5000/5200 2 FIOS,7890001003000,"379,11",1,,
282,EIXO ROTATIVO PARA MÁQUINA GALVONOMETRICA,7899765432245,"2.550,00",1,,
300,FLY BACK 80/90W PARA FONTES RECI DY-10,7899765432217,"682,50",1,,
312,LASER SCRIPTOR PARA GRAVAÇÃO EM METAL PASTA 100G,,"315,00",1,,
330,MINI COMPRESSOR 150L PARA MÁQUINAS DE CORTE A LASER,,"851,35",1,,
336,ÓCULOS DE PROTEÇÃO PARA LASER CO2,10600nm OD5+,"321,08",1,,
376,FLY BACK 80W PARA FONTES BLACK,7899765432218,"1.108,80",2,,
426,DRIVE DE MOVIMENTO 422 LEADSHINE,7899765432285,"541,59",1,,
464,POTENCIÔMETRO PARA MÁQUINAS DE CORTE A LASER,WTH118-2W - 4K7,"210,00",3,,
510,"ÁLCOOL ISOPROPÍLICO 200ML LIMPEZA DE LENTES E ESPELHOS 99,8%",500005,"51,98",2,,
516,FILTRO EMI 20A,7899765432258,"155,00",1,,
563,CABEÇA DE CORTE COMPLETA DIREITO SEM REGULADOR DE AR,25MM,"588,13",1,,
577,FECHADURA PORTA MAQUINA,7899765432256,"850,00",10,,
589,PLUG CONECTOR PARA CHILLER - 4 PINOS,7890001003789,"0,10",1,,
591,COLMEIA 600X400,7899765432290,"1.118,71",1,,
605,LENTE AMERICANA (ZNSE) DF 63.5 25MM,,"1.091,47",1,,
623,"CORREIA DA POLIA DO MOTOR X,Y 255-3M - 10MM",7899765432265,"122,04",2,,
625,"CORREIA DA POLIA DO MOTOR X,Y HTD255-3M - 15MM",7899765432271,"73,59",1,,
635,"CORREIA DA POLIA DO MOTOR X,Y 306-3M - 10MM",7899765432287,"122,04",2,,
667,BICO DE CORTE CO2 25MM LENTE 20MM DF 50.8 / 63.5 C REGULAGEM,DF 50.8 / 63.5,"295,00",1,,
683,LENTE AMERICANA (ZNSE) DF 63.5 20MM,,"554,40",2,,
715,"POLIA DO QUADRO DE MOVIMENTO 24 DENTES 3M COM FURO D 6,35 MM",ML-24D,"267,92",4,,
735,PELÍCULA PARA PAINEL RDC 6332 (Membrana),RDC6332,"270,30",1,,
761,CONECTOR TRIPOLAR (TOMADA DA MAQUINA) COM PORTA FUSIVEL,,"110,00",1,,
777,REGULADOR DE AR 4 MM PARA MÁQUINAS DE CORTE A LASER,7890001003413,"37,38",1,,
825,CABEÇA SINO GALVO PARA FIBER LASER,1064 NM,"4.022,86",1,,
827,PLACA CONTROLADORA FIBER LASER,B-LV4A,"3.900,00",1,,
855,DIODO PARA AJUSTE DE FOCO PARA FIBER LASER,7899765432275,"1.319,40",2,,
871,CHILLER JL-5200 PARA MAQUINA DE CORTE A LASER,JL5200,"4.570,00",1,,
879,MÁQUINA 6040 DESKTOP COM CHILLER CW3000,7899765432122,"17.900,00",1,60W,
893,PLACA CONTROLADORA FIBER LASER,,"3.900,00",1,,
907,TERMÔMETRO DE MEDIR TEMPERATURA DA ÁGUA,LCD,"110,00",1,,
915,ADAPTADOR DE LENTE FIBER LASER M79 PARA M85,M79 M85,"350,00",1,,
922,"CORREIA DA POLIA DO MOTOR X,Y 225-3M - 15MM",7899765432264,"310,00",5,,
