Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Pedidos,Quantidade de Pedidos,Valor,Porcentagem de Pedidos
30/04/2026,PARTICULAR,3,"5.140,24","42,86"
01/05/2026,LOJA VIRTUAL,1,"121,82",50
01/05/2026,MERCADO LIVRE,1,"41,23",50
04/05/2026,PARTICULAR,6,"10.481,45",100
05/05/2026,PARTICULAR,4,"7.771,77",80
05/05/2026,MERCADO LIVRE,1,"87,23",20
06/05/2026,LOJA VIRTUAL,4,"1.673,99",50
06/05/2026,MERCADO LIVRE,3,"3.232,83","37,5"
06/05/2026,PARTICULAR,1,"151,05","12,5"
07/05/2026,PARTICULAR,5,"1.335,65","62,5"
07/05/2026,LOJA VIRTUAL,2,"1.634,98",25
07/05/2026,MERCADO LIVRE,1,"71,88","12,5"
08/05/2026,PARTICULAR,5,"4.324,56","55,56"
08/05/2026,LOJA VIRTUAL,3,"3.801,19","33,33"
08/05/2026,MERCADO LIVRE,1,"351,62","11,11"
11/05/2026,PARTICULAR,5,"11.228,46","55,56"
11/05/2026,MERCADO LIVRE,3,"1.879,59","33,33"
11/05/2026,LOJA VIRTUAL,1,"127,20","11,11"
12/05/2026,PARTICULAR,7,"12.662,68","63,64"
12/05/2026,MERCADO LIVRE,3,"1.358,98","27,27"
12/05/2026,LOJA VIRTUAL,1,"303,17","9,09"
13/05/2026,PARTICULAR,6,"14.630,33","54,55"
13/05/2026,MERCADO LIVRE,3,"6.438,21","27,27"
13/05/2026,LOJA VIRTUAL,2,"2.626,14","18,18"
14/05/2026,PARTICULAR,3,"1.873,09",100
15/05/2026,PARTICULAR,1,"128,00",100
16/05/2026,MERCADO LIVRE,3,"119,03",75
16/05/2026,LOJA VIRTUAL,1,"124,51",25
18/05/2026,PARTICULAR,7,"18.849,87","58,33"
18/05/2026,LOJA VIRTUAL,3,"835,92",25
18/05/2026,MERCADO LIVRE,2,"2.334,71","16,67"
19/05/2026,PARTICULAR,4,"10.199,88","66,67"
19/05/2026,LOJA VIRTUAL,1,"53,65","16,67"
19/05/2026,MERCADO LIVRE,1,"54,93","16,67"
20/05/2026,PARTICULAR,4,"733,46",50
20/05/2026,MERCADO LIVRE,2,"1.551,23",25
20/05/2026,LOJA VIRTUAL,1,"229,77","12,5"
20/05/2026,MAGAZINE LUIZA,1,"791,76","12,5"
21/05/2026,PARTICULAR,5,"9.931,14","71,43"
21/05/2026,MERCADO LIVRE,2,"1.081,27","28,57"
22/05/2026,MERCADO LIVRE,5,"1.418,27",50
22/05/2026,PARTICULAR,4,"7.909,40",40
22/05/2026,LOJA VIRTUAL,1,"156,54",10
23/05/2026,MAGAZINE LUIZA,1,"21,48",50
23/05/2026,MERCADO LIVRE,1,"221,67",50
24/05/2026,LOJA VIRTUAL,2,"2.640,41",100
25/05/2026,PARTICULAR,8,"27.764,98","66,67"
25/05/2026,LOJA VIRTUAL,3,"999,16",25
25/05/2026,MERCADO LIVRE,1,"657,00","8,33"
26/05/2026,PARTICULAR,5,"7.447,60","71,43"
26/05/2026,MERCADO LIVRE,2,"402,59","28,57"
27/05/2026,PARTICULAR,9,"13.246,11","56,25"
27/05/2026,MERCADO LIVRE,7,"9.547,57","43,75"
28/05/2026,LOJA VIRTUAL,3,"3.137,50","33,33"
28/05/2026,MERCADO LIVRE,3,"297,47","33,33"
28/05/2026,PARTICULAR,3,"2.608,02","33,33"
29/05/2026,PARTICULAR,4,"20.882,36",100
31/05/2026,MERCADO LIVRE,1,"34,30",100
01/06/2026,PARTICULAR,4,"3.454,42",100
02/06/2026,MERCADO LIVRE,2,"937,56",40
02/06/2026,PARTICULAR,2,"4.793,35",40
02/06/2026,MAGAZINE LUIZA,1,"1.829,43",20
03/06/2026,LOJA VIRTUAL,2,"1.124,13",40
03/06/2026,PARTICULAR,2,"154.263,47",40
03/06/2026,MERCADO LIVRE,1,"223,85",20
04/06/2026,MERCADO LIVRE,4,"2.032,40",100
05/06/2026,PARTICULAR,3,"2.099,90",100
07/06/2026,MAGAZINE LUIZA,2,"2.258,93",100
08/06/2026,PARTICULAR,3,"4.410,87","37,5"
08/06/2026,LOJA VIRTUAL,2,"1.009,87",25
08/06/2026,MERCADO LIVRE,2,"413,07",25
08/06/2026,MAGAZINE LUIZA,1,"1.460,59","12,5"
09/06/2026,PARTICULAR,8,"51.846,46","66,67"
09/06/2026,MERCADO LIVRE,4,"2.804,14","33,33"
10/06/2026,PARTICULAR,6,"28.420,38",75
10/06/2026,MERCADO LIVRE,2,"267,98",25
11/06/2026,PARTICULAR,7,"145.678,10",50
11/06/2026,MERCADO LIVRE,6,"3.008,56","42,86"
11/06/2026,MAGAZINE LUIZA,1,"168,00","7,14"
12/06/2026,PARTICULAR,5,"2.532,58",100
14/06/2026,MERCADO LIVRE,1,"142,00",100
15/06/2026,MERCADO LIVRE,2,"230,68",40
15/06/2026,PARTICULAR,2,"1.353,05",40
15/06/2026,LOJA VIRTUAL,1,"371,62",20
16/06/2026,LOJA VIRTUAL,3,"1.400,36","42,86"
16/06/2026,PARTICULAR,3,"2.849,60","42,86"
16/06/2026,MERCADO LIVRE,1,"156,11","14,29"
17/06/2026,MERCADO LIVRE,1,"227,32",50
17/06/2026,PARTICULAR,1,"357,88",50
18/06/2026,MERCADO LIVRE,3,"1.854,19",50
18/06/2026,PARTICULAR,3,"2.137,54",50
19/06/2026,PARTICULAR,3,"30.730,00",50
19/06/2026,LOJA VIRTUAL,2,"410,10","33,33"
19/06/2026,MERCADO LIVRE,1,"156,11","16,67"
20/06/2026,MERCADO LIVRE,3,"805,86",100
22/06/2026,PARTICULAR,4,"29.835,76",50
22/06/2026,LOJA VIRTUAL,3,"1.065,08","37,5"
22/06/2026,MERCADO LIVRE,1,"165,03","12,5"
23/06/2026,PARTICULAR,4,"2.038,44","57,14"
23/06/2026,LOJA VIRTUAL,2,"171,10","28,57"
23/06/2026,MERCADO LIVRE,1,"1.157,19","14,29"
24/06/2026,PARTICULAR,6,"5.991,94","85,71"
24/06/2026,MERCADO LIVRE,1,"148,45","14,29"
25/06/2026,PARTICULAR,4,"1.937,31","66,67"
25/06/2026,LOJA VIRTUAL,2,"587,30","33,33"
26/06/2026,PARTICULAR,4,"8.825,71",50
26/06/2026,LOJA VIRTUAL,3,"1.946,58","37,5"
26/06/2026,MERCADO LIVRE,1,"128,17","12,5"
27/06/2026,MERCADO LIVRE,3,"690,80",100
29/06/2026,PARTICULAR,4,"3.982,64","57,14"
29/06/2026,LOJA VIRTUAL,1,"1.841,40","14,29"
29/06/2026,MAGAZINE LUIZA,1,"185,56","14,29"
29/06/2026,MERCADO LIVRE,1,"901,82","14,29"
30/06/2026,MERCADO LIVRE,3,"2.751,88",50
30/06/2026,PARTICULAR,3,"4.257,05",50
01/07/2026,MERCADO LIVRE,5,"2.716,09",50
01/07/2026,LOJA VIRTUAL,3,"12.370,81",30
01/07/2026,PARTICULAR,2,"3.965,72",20
02/07/2026,MERCADO LIVRE,5,"3.925,00","41,67"
02/07/2026,LOJA VIRTUAL,4,"8.060,09","33,33"
02/07/2026,PARTICULAR,3,"17.732,52",25
03/07/2026,MERCADO LIVRE,3,"2.511,60","42,86"
03/07/2026,PARTICULAR,3,"2.201,07","42,86"
