Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-02-24,"CARNAVAL DE OFERTAS V1 - CENTRO Campanha","CARNAVAL DE OFERTAS V1 - CENTRO Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - CENTRO","Casa & Cia Centro",not_delivering,ad,0,0,0,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,0,0,2026-02-14,2026-02-21,,,2026-02-24,2026-02-24
2026-02-19,"CARNAVAL DE OFERTAS V1 - PREMIUM Campanha","CARNAVAL DE OFERTAS V1 - PREMIUM Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - PREMIUM","Casa e Cia",not_delivering,ad,2180,2825,1.29587156,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,27.62,9.20666667,2026-02-14,2026-02-21,14,9.77699115,2026-02-19,2026-02-19
2026-02-19,"CARNAVAL DE OFERTAS V1 - CENTRO Campanha","CARNAVAL DE OFERTAS V1 - CENTRO Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - CENTRO","Casa & Cia Centro",not_delivering,ad,2809,3611,1.28551086,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,34.69,5.78166667,2026-02-14,2026-02-21,15,9.60675713,2026-02-19,2026-02-19
2026-02-18,"CARNAVAL DE OFERTAS V1 - PREMIUM Campanha","CARNAVAL DE OFERTAS V1 - PREMIUM Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - PREMIUM","Casa e Cia",not_delivering,ad,2068,3101,1.49951644,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,35.98,7.196,2026-02-14,2026-02-21,12,11.6027088,2026-02-18,2026-02-18
2026-02-18,"CARNAVAL DE OFERTAS V1 - CENTRO Campanha","CARNAVAL DE OFERTAS V1 - CENTRO Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - CENTRO","Casa & Cia Centro",not_delivering,ad,4252,6220,1.46284102,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,52.55,52.55,2026-02-14,2026-02-21,20,8.44855305,2026-02-18,2026-02-18
2026-02-17,"CARNAVAL DE OFERTAS V1 - PREMIUM Campanha","CARNAVAL DE OFERTAS V1 - PREMIUM Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - PREMIUM","Casa e Cia",not_delivering,ad,4965,6829,1.375428,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",8,73.54,9.1925,2026-02-14,2026-02-21,27,10.7687802,2026-02-17,2026-02-17
2026-02-17,"CARNAVAL DE OFERTAS V1 - CENTRO Campanha","CARNAVAL DE OFERTAS V1 - CENTRO Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - CENTRO","Casa & Cia Centro",not_delivering,ad,4785,6139,1.28296761,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,65.81,10.96833333,2026-02-14,2026-02-21,31,10.71998697,2026-02-17,2026-02-17
2026-02-16,"LENÇOL BORDADO 300 FIOS - CENTRO Campanha","LENÇOL BORDADO 300 FIOS - CENTRO Conjunto de anúncios","LENÇOL BORDADO 300 FIOS - CENTRO","Casa & Cia Centro",not_delivering,ad,2851,3676,1.28937215,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,47.51,9.502,2026-02-10,2026-02-16,17,12.92437432,2026-02-16,2026-02-16
2026-02-16,"LENÇOL BORDADO 300 FIOS - PREMIUM Campanha","LENÇOL BORDADO 300 FIOS - PREMIUM Conjunto de anúncios","LENÇOL BORDADO 300 FIOS - PREMIUM","Casa e Cia",not_delivering,ad,3041,4222,1.38835909,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,50.54,16.84666667,2026-02-10,2026-02-16,10,11.97063003,2026-02-16,2026-02-16
2026-02-16,"CARNAVAL DE OFERTAS V1 - PREMIUM Campanha","CARNAVAL DE OFERTAS V1 - PREMIUM Conjunto de anúncios","CARNAVAL DE OFERTAS V1 - PREMIUM","Casa e Cia",not_delivering,ad,3371,5008,1.48561258,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,60.33,12.066,2026-02-14,2026-02-21,26,12.04672524,2026-02-16,2026-02-16
