Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-04-30,"PM | CBO | ENGAJ | 30.04","SEMELHANTE seguidores — Cópia","ADS 011 — Cópia","Casa & Cia Centro",not_delivering,ad,154,164,1.06493506,"Clique de 7 dias ou visualização de 1 dia",,,3.57,,2026-04-30,Contínuo,,21.76829268,2026-04-30,2026-04-30
2026-04-30,"PM | CBO | ENGAJ | 25.04","Semelhante (2% to 3%) - SEGUIDORES — Cópia","ADS 011","Casa & Cia Centro",not_delivering,ad,632,796,1.25949367,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,11.79,11.79,2026-04-25,Contínuo,1,14.81155779,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | TEST - PUB | 25.04","SEMELHANTE — Cópia — Cópia","ADS 011 — Cópia","Casa & Cia Centro",not_delivering,ad,731,807,1.10396717,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,8.63,8.63,2026-04-25,Contínuo,3,10.69392813,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | TRAFEGO | 16.04","ABERTO - CXS","ADS 002","Casa & Cia Centro",not_delivering,ad,1143,1214,1.06211724,"Clique de 1 dia","Visitas ao perfil do Instagram",21,8.47,0.40333333,2026-04-16,Contínuo,20,6.97693575,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | TEST.PUB | 24.04","Semelhante (2% to 3%) - ENVIARAM MENSAGEM 30D","ADS 011","Casa & Cia Centro",not_delivering,ad,0,0,0,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,0,0,2026-04-24,Contínuo,,,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | VALIDADOS | 14.04 | EXPRESS  - 711",SEMELHANTE,"ADS 011 — Cópia","Casa & Cia Centro",not_delivering,ad,540,597,1.10555556,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,8.57,4.285,2026-04-14,Contínuo,1,14.35510888,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | TEST.PUB | 24.04","Semelhante (2% to 3%) - SEGUIDORES","ADS 011","Casa & Cia Centro",not_delivering,ad,553,594,1.07414105,"Clique de 7 dias ou visualização de 1 dia",,,7.39,,2026-04-24,Contínuo,3,12.44107744,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | VALIDADOS | 14.04 |  711","SEMELHANTE seguidores","ADS 011 — Cópia","Casa & Cia Centro",not_delivering,ad,743,946,1.27321669,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,13.26,6.63,2026-04-14,Contínuo,3,14.01691332,2026-04-30,2026-04-30
2026-04-30,"PM | ABO | ENGAJ | TEST - PUB | 25.04","SEMELHANTE — Cópia — Cópia","ADS 011 — Cópia","Casa & Cia Centro",not_delivering,ad,664,734,1.10542169,"Clique de 7 dias ou visualização de 1 dia",,,9.36,,2026-04-25,Contínuo,,12.7520436,2026-04-30,2026-04-30
2026-04-29,"PM | ABO | ENGAJ | VALIDADOS | 14.04 |  711","SEMELHANTE seguidores — TROCA CRIATIVO","ADS 005 — Cópia — Cópia","Casa & Cia Centro",not_delivering,ad,361,413,1.14404432,"Clique de 7 dias ou visualização de 1 dia",,,7,,2026-04-25,Contínuo,3,16.94915254,2026-04-29,2026-04-29
