Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-01-31,"1000 FIOS APPEL - CENTRO Campanha","1000 FIOS APPEL - CENTRO Conjunto de anúncios","1000 FIOS APPEL - CENTRO","Casa & Cia Centro",not_delivering,ad,1432,1713,1.19622905,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",15,53.81,3.58733333,2026-01-31,2026-02-07,22,31.41272621,2026-01-31,2026-01-31
2026-01-31,"1000 FIOS APPEL - PREMIUM Campanha","BUDDEMEYER - PREMIUM Conjunto de anúncios","1000 FIOS - PREMIUM","Casa e Cia",not_delivering,ad,3541,4310,1.21717029,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",39,56.2,1.44102564,2026-01-31,2026-02-07,62,13.03944316,2026-01-31,2026-01-31
2026-01-31,"30% NA SEGUNDA PEÇA -  CENTRO Campanha","30% NA SEGUNDA PEÇA -  CENTRO Conjunto de anúncios","30% NA SEGUNDA PEÇA -  CENTRO","Casa & Cia Centro",not_delivering,ad,1659,2614,1.57564798,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,95.98,47.99,2026-01-27,2026-01-31,14,36.71767406,2026-01-31,2026-01-31
2026-01-31,"30% NA SEGUNDA PEÇA -  PREMIUM Campanha","30% NA SEGUNDA PEÇA -  PREMIUM Conjunto de anúncios","30% NA SEGUNDA PEÇA -  PREMIUM","Casa e Cia",not_delivering,ad,4599,6918,1.50424005,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,97.38,24.345,2026-01-27,2026-01-31,30,14.07632264,2026-01-31,2026-01-31
2026-01-30,"30% NA SEGUNDA PEÇA -  CENTRO Campanha","30% NA SEGUNDA PEÇA -  CENTRO Conjunto de anúncios","30% NA SEGUNDA PEÇA -  CENTRO","Casa & Cia Centro",not_delivering,ad,2125,3131,1.47341176,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,106.32,26.58,2026-01-27,2026-01-31,17,33.95720217,2026-01-30,2026-01-30
2026-01-30,"30% NA SEGUNDA PEÇA -  PREMIUM Campanha","30% NA SEGUNDA PEÇA -  PREMIUM Conjunto de anúncios","30% NA SEGUNDA PEÇA -  PREMIUM","Casa e Cia",not_delivering,ad,2894,4428,1.5300622,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,94.94,31.64666667,2026-01-27,2026-01-31,17,21.44083107,2026-01-30,2026-01-30
2026-01-29,"30% NA SEGUNDA PEÇA -  CENTRO Campanha","30% NA SEGUNDA PEÇA -  CENTRO Conjunto de anúncios","30% NA SEGUNDA PEÇA -  CENTRO","Casa & Cia Centro",not_delivering,ad,2415,3467,1.43561077,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,110.39,15.77,2026-01-27,2026-01-31,21,31.84020767,2026-01-29,2026-01-29
2026-01-29,"30% NA SEGUNDA PEÇA -  PREMIUM Campanha","30% NA SEGUNDA PEÇA -  PREMIUM Conjunto de anúncios","30% NA SEGUNDA PEÇA -  PREMIUM","Casa e Cia",not_delivering,ad,3625,5446,1.50234483,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,110.37,22.074,2026-01-27,2026-01-31,31,20.26625046,2026-01-29,2026-01-29
2026-01-28,"30% NA SEGUNDA PEÇA -  PREMIUM Campanha","30% NA SEGUNDA PEÇA -  PREMIUM Conjunto de anúncios","30% NA SEGUNDA PEÇA -  PREMIUM","Casa e Cia",not_delivering,ad,3181,5099,1.60295505,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,76.25,38.125,2026-01-27,2026-01-31,15,14.95391253,2026-01-28,2026-01-28
2026-01-28,"30% NA SEGUNDA PEÇA -  CENTRO Campanha","30% NA SEGUNDA PEÇA -  CENTRO Conjunto de anúncios","30% NA SEGUNDA PEÇA -  CENTRO","Casa & Cia Centro",not_delivering,ad,1412,2108,1.49291785,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,63.27,15.8175,2026-01-27,2026-01-31,11,30.0142315,2026-01-28,2026-01-28
2026-01-27,"30% NA SEGUNDA PEÇA -  CENTRO Campanha","30% NA SEGUNDA PEÇA -  CENTRO Conjunto de anúncios","30% NA SEGUNDA PEÇA -  CENTRO","Casa & Cia Centro",not_delivering,ad,1058,1261,1.19187146,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,22.63,22.63,2026-01-27,2026-01-31,5,17.94607454,2026-01-27,2026-01-27
2026-01-27,"30% NA SEGUNDA PEÇA -  PREMIUM Campanha","30% NA SEGUNDA PEÇA -  PREMIUM Conjunto de anúncios","30% NA SEGUNDA PEÇA -  PREMIUM","Casa e Cia",not_delivering,ad,1632,2053,1.25796569,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,20.18,20.18,2026-01-27,2026-01-31,5,9.82951778,2026-01-27,2026-01-27
2026-01-24,"OFERTA RELÂMPAGO - CENTRO - LENÇOL ALTENBURG E 1000 FIOS Campanha","OFERTA RELÂMPAGO - CENTRO - LENÇOL ALTENBURG E 1000 FIOS Conjunto de anúncios","OFERTA RELÂMPAGO - CENTRO - LENÇOL ALTENBURG E 1000 FIOS","Casa & Cia Centro",not_delivering,ad,1290,1545,1.19767442,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,43.11,10.7775,2026-01-22,2026-01-24,11,27.90291262,2026-01-24,2026-01-24
2026-01-24,"OFERTA RELÂMPAGO - PREMIUM 1 - TAPETES 20%","OFERTA RELÂMPAGO - PREMIUM 1 Conjunto de anúncios","OFERTA RELÂMPAGO - PREMIUM 1","Casa e Cia",not_delivering,ad,1593,2070,1.29943503,"Clique de 7 dias ou visualização de 1 dia",,,43.9,,2026-01-22,2026-01-24,5,21.20772947,2026-01-24,2026-01-24
2026-01-24,"OFERTA RELÂMPAGO - CENTRO - TAPETES 20% Campanha","OFERTA RELÂMPAGO - CENTRO - TAPETES 20% Conjunto de anúncios","OFERTA RELÂMPAGO - CENTRO - TAPETES 20%","Casa & Cia Centro",not_delivering,ad,1238,1662,1.34248788,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,41.6,20.8,2026-01-22,2026-01-24,7,25.03008424,2026-01-24,2026-01-24
2026-01-24,"OFERTA RELÂMPAGO - PREMIUM 1 - LENÇOL ALTENBURG E 1000 FIOS Campanha","OFERTA RELÂMPAGO - PREMIUM 1 - LENÇOL ALTENBURG E 1000 FIOS Conjunto de anúncios","OFERTA RELÂMPAGO - PREMIUM 1 - LENÇOL ALTENBURG E 1000 FIOS","Casa e Cia",not_delivering,ad,1753,2201,1.25556189,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,42.21,14.07,2026-01-22,2026-01-24,8,19.17764652,2026-01-24,2026-01-24
2026-01-23,"OFERTA RELÂMPAGO - PREMIUM 1 - TAPETES 20%","OFERTA RELÂMPAGO - PREMIUM 1 Conjunto de anúncios","OFERTA RELÂMPAGO - PREMIUM 1","Casa e Cia",not_delivering,ad,1820,2347,1.28956044,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,44.97,22.485,2026-01-22,2026-01-24,6,19.16063059,2026-01-23,2026-01-23
2026-01-23,"OFERTA RELÂMPAGO - CENTRO - TAPETES 20% Campanha","OFERTA RELÂMPAGO - CENTRO - TAPETES 20% Conjunto de anúncios","OFERTA RELÂMPAGO - CENTRO - TAPETES 20%","Casa & Cia Centro",not_delivering,ad,1456,1876,1.28846154,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,41.99,8.398,2026-01-22,2026-01-24,11,22.38272921,2026-01-23,2026-01-23
