Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,309,427,1.38187702,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,10.52,1.75333333,2026-07-30,Contínuo,12,24.63700234,2026-07-31,2026-07-31
2026-07-31,"TRUSSARDI 50% - PREMIUM Campanha — Cópia","TRUSSARDI 50% - PREMIUM Conjunto de anúncios — Cópia","TRUSSARDI 50% - PREMIUM — Cópia","Casa e Cia",active,ad,380,501,1.31842105,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,15.72,3.93,2026-07-30,2026-08-04,9,31.37724551,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,235,307,1.30638298,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,8.82,8.82,2026-07-30,Contínuo,3,28.72964169,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,429,544,1.26806527,"Clique de 7 dias ou visualização de 1 dia",,,8.41,,2026-07-30,Contínuo,5,15.45955882,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,689,875,1.26995646,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,11.78,3.92666667,2026-07-30,Contínuo,14,13.46285714,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia","New messages ad — Cópia","Casa e Cia",not_delivering,ad,506,612,1.20948617,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,9,9,2026-07-30,Contínuo,7,14.70588235,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set","New messages ad","Casa e Cia",not_delivering,ad,362,464,1.28176796,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,10.08,5.04,2026-07-30,Contínuo,6,21.72413793,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,526,648,1.23193916,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,9.8,9.8,2026-07-30,Contínuo,8,15.12345679,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia","New messages ad — Cópia — Cópia","Casa e Cia",not_delivering,ad,383,482,1.25848564,"Clique de 7 dias ou visualização de 1 dia",,,7.99,,2026-07-30,Contínuo,4,16.57676349,2026-07-31,2026-07-31
2026-07-31,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,910,1157,1.27142857,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,12.56,3.14,2026-07-30,Contínuo,16,10.85566119,2026-07-31,2026-07-31
2026-07-30,"Fecha mês","New messages ad set — Cópia","New messages ad — Cópia","Casa e Cia",not_delivering,ad,165,189,1.14545455,"Clique de 7 dias ou visualização de 1 dia",,,2.07,,2026-07-30,Contínuo,6,10.95238095,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,62,65,1.0483871,"Clique de 7 dias ou visualização de 1 dia",,,0.67,,2026-07-30,Contínuo,1,10.30769231,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set — Cópia — Cópia","New messages ad — Cópia — Cópia","Casa e Cia",not_delivering,ad,138,156,1.13043478,"Clique de 7 dias ou visualização de 1 dia",,,1.71,,2026-07-30,Contínuo,3,10.96153846,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set","New messages ad","Casa e Cia",not_delivering,ad,125,140,1.12,"Clique de 7 dias ou visualização de 1 dia",,,2.12,,2026-07-30,Contínuo,,15.14285714,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,37,41,1.10810811,"Clique de 7 dias ou visualização de 1 dia",,,0.62,,2026-07-30,Contínuo,3,15.12195122,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,42,44,1.04761905,"Clique de 7 dias ou visualização de 1 dia",,,0.66,,2026-07-30,Contínuo,,15,2026-07-30,2026-07-30
2026-07-30,"Fecha mês","New messages ad set — Cópia — Cópia — Cópia","New messages ad — Cópia — Cópia — Cópia","Casa e Cia",not_delivering,ad,101,117,1.15841584,"Clique de 7 dias ou visualização de 1 dia",,,2.67,,2026-07-30,Contínuo,5,22.82051282,2026-07-30,2026-07-30
