Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-03-09,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A2,"Casa & Cia Centro",not_delivering,ad,112,113,1.00892857,"Clique de 1 dia","Visitas ao perfil do Instagram",2,1.57,0.785,2026-03-06,Contínuo,2,13.89380531,2026-03-09,2026-03-09
2026-03-09,"HA | ABO | ENGAJ | 9 LINKS | 06.03 - FASE 2 - 50,00","A6 - INTERESSE VIAJANTES",C,"Casa & Cia Centro",not_delivering,ad,245,308,1.25714286,"Clique de 7 dias ou visualização de 1 dia",,,6.45,,2026-03-06,Contínuo,2,20.94155844,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,P2,"Casa & Cia Centro",not_delivering,ad,184,211,1.14673913,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",4,1.97,0.4925,2026-03-07,Contínuo,8,9.33649289,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,VIDEO,"Casa & Cia Centro",not_delivering,ad,1707,2388,1.39894552,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",38,33.29,0.87605263,2026-03-07,2026-03-14,85,13.94053601,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2",VISITAS,P1,"Casa & Cia Centro",not_delivering,ad,7,7,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.08,,2026-03-07,Contínuo,,11.42857143,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2",VV,VIDEO,"Casa & Cia Centro",not_delivering,ad,896,1149,1.28236607,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",12,19.56,1.63,2026-03-07,Contínuo,141,17.02349869,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2",VISITAS,P2,"Casa & Cia Centro",inactive,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-03-07,Contínuo,,0,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",ENGAJAMENTO,P1,"Casa & Cia Centro",not_delivering,ad,41,43,1.04878049,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",2,0.39,0.195,2026-03-07,Contínuo,1,9.06976744,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2",ENGAJAMENTO,P2,"Casa & Cia Centro",not_delivering,ad,456,552,1.21052632,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",11,7.46,0.67818182,2026-03-07,Contínuo,6,13.51449275,2026-03-09,2026-03-09
2026-03-09,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,VIDEO,"Casa & Cia Centro",not_delivering,ad,356,410,1.15168539,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",12,9.94,0.82833333,2026-03-07,Contínuo,48,24.24390244,2026-03-09,2026-03-09
