# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: HYLA do Brasil
# Propriedade: Hyla do Brasil
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260610
# Data de término: 20260707
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/finalizar-compra/pedido-recebido/8885/,2,2,1,17.5,0,7,186.3
/finalizar-compra/pedido-recebido/8887/,1,1,1,0,0,2,846.600001
/finalizar-compra/pedido-recebido/8888/,1,1,1,12,0,3,162.829998
/finalizar-compra/pedido-recebido/8889/,1,1,1,78,0,3,572.770003
/finalizar-compra/pedido-recebido/8891/,6,3,2,8,0,17,465.6
/finalizar-compra/pedido-recebido/8892/,1,1,1,28,0,4,1716.98
/finalizar-compra/pedido-recebido/8893/,2,2,1,6.5,0,6,162.829998
/higienizador-hyla/,8,6,1.3333333333333333,46.666666666666664,0,24,0
/hyla-do-brasil/,2,1,2,14,0,3,0
/limpeza/,1,1,1,20,0,2,0
/loja/,778,580,1.3413793103448275,21.836206896551722,0,1736,0
/loja/acessorios/,229,151,1.5165562913907285,25.695364238410598,0,570,0
/loja/acessorios/bicos/,84,46,1.826086956521739,28.347826086956523,0,204,0
/loja/acessorios/bicos/bico-cortinas/,3,3,1,5.666666666666667,0,8,0
/loja/acessorios/bicos/bico-inflar-bexiga/,9,8,1.125,7.25,0,31,0
/loja/acessorios/bicos/bico-para-cantos-est/,7,7,1,9,0,20,0
/loja/acessorios/bicos/bico-para-inflar-bexigas-extensor-est-gst-nst/,5,5,1,4.8,0,15,0
/loja/acessorios/bicos/hyla-duster/,18,17,1.0588235294117647,18.764705882352942,0,58,0
/loja/acessorios/bolsas-e-sacos/,28,24,1.1666666666666667,9.416666666666666,0,63,0
/loja/acessorios/bolsas-e-sacos/bolsa-vacuo-g/,18,18,1,6.777777777777778,0,60,0
