Performance da campanha
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Campanha,Estado da campanha,Tipo de campanha,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-06-08,Branding - SP,Ativada,Pesquisa,119,3.823,"3,11%",BRL,"0,81","96,31","27,24%","84,05%","610,50",0,"0,16","513,03%"
2026-05-07,Branding - SP,Ativada,Pesquisa,114,3.924,"2,91%",BRL,"0,30","34,75","21,57%","76,47%","398,71",0,"0,09","349,74%"
2026-05-26,Branding - SP,Ativada,Pesquisa,113,5.166,"2,19%",BRL,"0,50","56,89","13,60%","72,81%","475,00",0,"0,12","420,35%"
2026-04-27,Branding - SP,Ativada,Pesquisa,112,5.044,"2,22%",BRL,"0,24","26,88","16,67%","58,33%","406,03",0,"0,07","362,53%"
2026-06-06,PMAX,Ativada,Performance Max,112,3.647,"3,07%",BRL,"1,24","139,30",0,0,"4,00",0,"34,82","3,23%"
2026-05-11,Branding - SP,Ativada,Pesquisa,110,6.043,"1,82%",BRL,"0,40","43,61","9,82%","62,58%","475,64",0,"0,09","432,40%"
2026-05-28,Branding - SP,Ativada,Pesquisa,110,4.846,"2,27%",BRL,"0,64","70,13","16,82%","70,25%","443,42",0,"0,16","403,11%"
2026-05-24,Branding - SP,Ativada,Pesquisa,109,4.431,"2,46%",BRL,"0,33","35,91","1,22%","74,39%","867,00",0,"0,04","795,42%"
2026-03-18,PMAX,Ativada,Performance Max,108,4.051,"2,67%",BRL,"0,44","47,94",0,0,"45,00",0,"1,07","36,58%"
2026-03-07,PMAX,Ativada,Performance Max,107,2.421,"4,42%",BRL,"0,28","29,67",0,0,"10,01",0,"2,97","2,25%"
2026-05-23,Branding - SP,Ativada,Pesquisa,105,4.402,"2,39%",BRL,"0,34","36,07","4,55%","57,58%","425,03",0,"0,08","404,79%"
2026-04-16,PMAX,Ativada,Performance Max,104,4.008,"2,59%",BRL,"0,70","73,00",0,0,"10,00",0,"7,30","9,35%"
2026-05-25,Branding - SP,Ativada,Pesquisa,102,4.508,"2,26%",BRL,"0,36","37,00","16,88%","88,31%","426,00",0,"0,09","417,64%"
2026-05-27,Branding - SP,Ativada,Pesquisa,100,4.536,"2,20%",BRL,"0,59","58,94","14,96%","68,65%","331,00",0,"0,18","331,00%"
2026-03-19,PMAX,Ativada,Performance Max,99,3.233,"3,06%",BRL,"0,80","79,45",0,0,"11,00",0,"7,22","10,19%"
2026-04-26,Branding - SP,Ativada,Pesquisa,97,3.685,"2,63%",BRL,"0,27","26,37","11,11%","72,22%","392,00",0,"0,07","404,13%"
2026-05-03,Branding - SP,Ativada,Pesquisa,97,5.322,"1,82%",BRL,"0,59","57,36","12,11%","77,11%","464,00",0,"0,12","478,35%"
2026-05-30,Branding - SP,Ativada,Pesquisa,97,6.402,"1,52%",BRL,"0,79","76,66","20,90%","71,43%","474,90",0,"0,16","489,58%"
2026-04-06,PMAX,Ativada,Performance Max,95,2.197,"4,32%",BRL,"0,33","31,43",0,0,"13,01",0,"2,42","3,22%"
2026-05-17,Branding - SP,Ativada,Pesquisa,94,6.275,"1,50%",BRL,"0,61","57,02","17,21%","68,44%","504,00",0,"0,11","536,17%"
2026-05-15,PMAX,Ativada,Performance Max,93,2.122,"4,38%",BRL,"1,94","180,31",0,0,"9,00",0,"20,03","3,91%"
2026-03-22,PMAX,Ativada,Performance Max,92,2.165,"4,25%",BRL,"0,81","74,54",0,0,"22,00",0,"3,39","14,57%"
2026-04-29,Branding - SP,Ativada,Pesquisa,91,5.060,"1,80%",BRL,"0,48","43,75","16,56%","76,88%","378,00",0,"0,12","415,39%"
2026-05-08,Branding - SP,Ativada,Pesquisa,91,4.977,"1,83%",BRL,"0,32","28,87","9,38%","68,75%","353,12",0,"0,08","388,04%"
2026-04-25,Branding - SP,Ativada,Pesquisa,88,4.899,"1,80%",BRL,"0,36","31,37","11,90%","61,90%","439,00",0,"0,07","498,87%"
2026-05-21,Branding - SP,Ativada,Pesquisa,88,4.067,"2,16%",BRL,"0,35","30,54","17,65%","60,78%","341,99",0,"0,09","388,62%"
2026-05-22,Branding - SP,Ativada,Pesquisa,88,3.755,"2,34%",BRL,"0,34","30,32","12,90%","62,90%","288,00",0,"0,11","327,28%"
2026-05-09,Branding - SP,Ativada,Pesquisa,86,4.522,"1,90%",BRL,"0,33","28,38","12,00%","60,00%","361,81",0,"0,08","420,70%"
2026-05-20,Branding - SP,Ativada,Pesquisa,86,4.896,"1,76%",BRL,"0,37","32,09","6,56%","67,21%","363,62",0,"0,09","422,81%"
2026-04-24,Branding - SP,Ativada,Pesquisa,85,4.992,"1,70%",BRL,"0,40","34,23","10,91%","65,45%","413,75",0,"0,08","486,77%"
2026-05-01,Branding - SP,Ativada,Pesquisa,85,5.556,"1,53%",BRL,"0,71","60,02","20,45%","80,07%","349,00",0,"0,17","410,59%"
2026-05-19,Branding - SP,Ativada,Pesquisa,84,5.110,"1,64%",BRL,"0,43","36,03","8,85%","71,68%","355,00",0,"0,10","422,62%"
2026-06-06,Branding - SP,Ativada,Pesquisa,83,5.241,"1,58%",BRL,"0,32","26,43","4,76%","57,14%","412,00",0,"0,06","496,38%"
2026-03-09,PMAX,Ativada,Performance Max,83,1.622,"5,12%",BRL,"1,07","88,60",0,0,"12,00",0,"7,38","9,68%"
2026-05-02,Branding - SP,Ativada,Pesquisa,82,4.621,"1,77%",BRL,"0,60","49,58","15,25%","78,81%","335,37",0,"0,15","408,98%"
2026-05-06,Branding - SP,Ativada,Pesquisa,80,5.056,"1,58%",BRL,"0,36","29,07","12,24%","59,18%","293,00",0,"0,10","366,25%"
2026-05-16,Branding - SP,Ativada,Pesquisa,79,3.919,"2,02%",BRL,"0,63","50,16","16,18%","78,96%","352,98",0,"0,14","446,81%"
2026-05-15,Branding - SP,Ativada,Pesquisa,78,3.477,"2,24%",BRL,"0,59","45,70","17,66%","64,67%","278,00",0,"0,16","356,41%"
2026-06-03,Branding - SP,Ativada,Pesquisa,78,4.093,"1,91%",BRL,"0,48","37,74","6,45%","70,97%","478,00",0,"0,08","612,82%"
2026-04-20,Branding - SP,Ativada,Pesquisa,77,3.841,"2,00%",BRL,"0,67","51,30","18,31%","73,49%","377,25",0,"0,14","489,93%"
2026-05-10,Branding - SP,Ativada,Pesquisa,77,4.759,"1,62%",BRL,"0,35","27,28","8,82%","76,47%","344,00",0,"0,08","446,75%"
2026-05-18,Branding - SP,Ativada,Pesquisa,77,5.418,"1,42%",BRL,"0,50","38,54","14,36%","68,72%","331,95",0,"0,12","431,10%"
2026-07-05,PMAX,Ativada,Performance Max,77,3.033,"2,54%",BRL,"2,01","154,87",0,0,"9,00",0,"17,21","4,27%"
2026-05-04,Branding - SP,Ativada,Pesquisa,76,4.110,"1,85%",BRL,"0,53","40,50","14,10%","76,92%","377,92",0,"0,11","497,26%"
2026-04-13,PMAX,Ativada,Performance Max,76,3.685,"2,06%",BRL,"1,82","138,10",0,0,"17,00",0,"8,12","13,28%"
2026-06-05,Branding - SP,Ativada,Pesquisa,75,5.716,"1,31%",BRL,"0,37","27,77","0,00%","83,33%","325,00",0,"0,09","433,33%"
2026-04-27,PMAX,Ativada,Performance Max,74,2.930,"2,53%",BRL,"1,99","147,17",0,0,"13,66",0,"10,77","8,70%"
2026-06-04,Branding - SP,Ativada,Pesquisa,73,4.337,"1,68%",BRL,"0,40","29,28","8,00%","50,00%","241,00",0,"0,12","330,14%"
2026-05-05,Branding - SP,Ativada,Pesquisa,71,3.547,"2,00%",BRL,"0,49","34,67","17,14%","75,24%","330,30",0,"0,10","465,21%"
2026-06-02,Branding - SP,Ativada,Pesquisa,70,5.703,"1,23%",BRL,"0,53","37,07","13,04%","64,49%","341,39",0,"0,11","487,70%"
2026-05-29,Branding - SP,Ativada,Pesquisa,69,2.383,"2,90%",BRL,"0,45","30,97","22,86%","72,86%","193,00",0,"0,16","279,71%"
2026-04-19,Branding - SP,Ativada,Pesquisa,68,4.015,"1,69%",BRL,"0,75","50,69","22,67%","77,83%","307,00",0,"0,17","451,47%"
2026-04-18,Branding - SP,Ativada,Pesquisa,65,3.273,"1,99%",BRL,"0,82","53,01","23,16%","79,00%","335,11",0,"0,16","515,55%"
2026-07-06,Branding - SP,Ativada,Pesquisa,64,5.277,"1,21%",BRL,"1,36","87,00","5,69%","40,10%","394,28",0,"0,22","616,05%"
2026-04-30,Branding - SP,Ativada,Pesquisa,62,2.654,"2,34%",BRL,"0,64","39,61","22,32%","85,71%","229,00",0,"0,17","369,35%"
2026-05-03,PMAX,Ativada,Performance Max,62,3.366,"1,84%",BRL,"1,64","101,96",0,0,"3,00",0,"33,99","4,84%"
2026-01-26,Branding - BR,Pausada,Pesquisa,60,1.982,"3,03%",BRL,"1,00","60,00","24,52%","72,96%","259,11",0,"0,23","431,85%"
2026-05-31,Branding - SP,Ativada,Pesquisa,60,3.838,"1,56%",BRL,"0,62","37,47","18,52%","72,02%","329,00",0,"0,11","548,33%"
2026-07-04,PMAX,Ativada,Performance Max,59,2.131,"2,77%",BRL,"1,60","94,30",0,0,"9,00",0,"10,48","6,98%"
2026-06-09,PMAX,Ativada,Performance Max,58,643,"9,02%",BRL,"0,85","49,06",0,0,"11,99",0,"4,09","17,63%"
2026-01-27,Branding - SP,Ativada,Pesquisa,57,1.380,"4,13%",BRL,"1,75","99,99","35,59%","78,33%","274,17",0,"0,36","481,00%"
2026-07-05,Branding - SP,Ativada,Pesquisa,57,4.139,"1,38%",BRL,"1,05","60,09","9,86%","45,83%","246,00",0,"0,24","431,58%"
2026-03-13,PMAX,Ativada,Performance Max,57,1.840,"3,10%",BRL,"1,06","60,60",0,0,"16,72",0,"3,62","19,00%"
2026-05-18,PMAX,Ativada,Performance Max,56,1.420,"3,94%",BRL,"1,51","84,80",0,0,"24,00",0,"3,53","22,86%"
2026-01-25,Branding - BR,Pausada,Pesquisa,55,1.634,"3,37%",BRL,"1,10","60,73","24,62%","73,24%","233,00",0,"0,26","423,64%"
2026-04-12,Branding - SP,Ativada,Pesquisa,54,3.502,"1,54%",BRL,"0,86","46,69","15,92%","74,60%","277,19",0,"0,17","513,31%"
2026-05-31,PMAX,Ativada,Performance Max,54,856,"6,31%",BRL,"0,44","23,85",0,0,"3,00",0,"7,95","1,22%"
2026-06-14,PMAX,Ativada,Performance Max,54,2.858,"1,89%",BRL,"3,36","181,61",0,0,"2,00",0,"90,81","3,70%"
2026-01-21,Branding - BR,Pausada,Pesquisa,52,1.809,"2,87%",BRL,"1,15","59,87","28,33%","75,89%","248,00",0,"0,24","476,92%"
2026-04-11,Branding - SP,Ativada,Pesquisa,52,2.838,"1,83%",BRL,"0,93","48,42","20,66%","82,93%","252,23",0,"0,19","485,06%"
2026-06-09,Branding - SP,Ativada,Pesquisa,51,2.105,"2,42%",BRL,"0,69","35,44","22,64%","84,91%","226,79",0,"0,16","444,69%"
2026-01-29,Branding - SP,Ativada,Pesquisa,50,1.185,"4,22%",BRL,"2,01","100,75","38,93%","77,74%","210,65",0,"0,48","421,30%"
2026-06-03,PMAX,Ativada,Performance Max,50,3.058,"1,64%",BRL,"2,84","142,24",0,0,"17,00",0,"8,37","30,36%"
2026-01-27,Branding - BR,Pausada,Pesquisa,49,1.888,"2,60%",BRL,"1,22","60,00","26,40%","74,58%","225,84",0,"0,27","460,90%"
2026-04-07,PMAX,Ativada,Performance Max,49,1.548,"3,17%",BRL,"1,32","64,89",0,0,"7,00",0,"9,27","8,05%"
2026-05-25,PMAX,Ativada,Performance Max,49,1.662,"2,95%",BRL,"2,32","113,77",0,0,"8,50",0,"13,38","17,35%"
2026-02-03,Branding - SP,Ativada,Pesquisa,48,900,"5,33%",BRL,"1,50","71,83","28,91%","81,15%","326,25",0,"0,22","679,69%"
2026-04-17,Branding - SP,Ativada,Pesquisa,48,3.251,"1,48%",BRL,"1,09","52,09","29,52%","80,93%","216,00",0,"0,24","450,00%"
2026-07-02,Branding - SP,Ativada,Pesquisa,48,3.031,"1,58%",BRL,"1,21","58,16","10,36%","52,25%","303,00",0,"0,19","631,25%"
2026-05-27,PMAX,Ativada,Performance Max,48,973,"4,93%",BRL,"2,22","106,47",0,0,"6,00",0,"17,74","8,96%"
2026-01-30,Branding - SP,Ativada,Pesquisa,47,1.115,"4,22%",BRL,"1,65","77,65","28,52%","74,64%","257,00",0,"0,30","546,81%"
2026-07-01,Branding - SP,Ativada,Pesquisa,47,2.608,"1,80%",BRL,"1,25","58,72","13,27%","58,41%","323,47",0,"0,18","688,23%"
2026-07-04,Branding - SP,Ativada,Pesquisa,47,3.433,"1,37%",BRL,"1,27","59,79","9,17%","46,38%","238,58",0,"0,25","507,62%"
2026-03-28,PMAX,Ativada,Performance Max,47,1.819,"2,58%",BRL,"1,58","74,20",0,0,"7,00",0,"10,60","10,14%"
2026-05-20,PMAX,Ativada,Performance Max,46,1.470,"3,13%",BRL,"2,43","111,92",0,0,"5,00",0,"22,38","9,26%"
2026-01-20,Branding - BR,Pausada,Pesquisa,45,1.896,"2,37%",BRL,"1,34","60,34","28,49%","76,26%","323,00",0,"0,19","717,78%"
2026-04-14,Branding - SP,Ativada,Pesquisa,45,2.386,"1,89%",BRL,"1,09","48,90","27,55%","79,40%","265,00",0,"0,18","588,89%"
2026-07-03,Branding - SP,Ativada,Pesquisa,45,3.683,"1,22%",BRL,"1,29","58,18","7,14%","43,37%","250,00",0,"0,23","555,56%"
2026-05-04,PMAX,Ativada,Performance Max,45,1.599,"2,81%",BRL,"2,21","99,38",0,0,"5,68",0,"17,51","10,71%"
2026-05-19,PMAX,Ativada,Performance Max,45,1.367,"3,29%",BRL,"2,89","130,19",0,0,"22,00",0,"5,92","37,93%"
2026-05-21,PMAX,Ativada,Performance Max,45,1.750,"2,57%",BRL,"3,02","135,98",0,0,"6,00",0,"22,66","13,04%"
2026-03-30,PMAX,Ativada,Performance Max,44,1.959,"2,25%",BRL,"2,11","92,77",0,0,"21,01",0,"4,42","41,19%"
